Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
50,Chebi: My Fluffy Friend,"$76,453,705",-,-,"$76,453,705",100%,ru,"What if Cheburashka really exists? What if he is not a plush toy, but quite a real furry animal that lives in an orange grove in a distant country? What if he finds himself in a small town by the sea and meets an uncommunicative old man who does not need him at all, meets a little boy who cannot speak, and his mother, who makes amazing chocolate, meets a strange aunt who wants to buy it and give it to her unsympathetic granddaughter, and many, many other people.",5.718,2023-01-01,7.292,60
51,Avatar 2022 Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%,-,-,-,-,-,-
52,Violent Night,"$76,004,405","$50,057,405",65.9%,"$25,947,000",34.1%,en,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",94.337,2022-11-30,7.444,1669
53,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%,en,"A journey deep into an uncharted and treacherous land, where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial, mission.",60.832,2022-11-23,6.415,1089
54,Detective Conan: The Bride of Halloween,"$72,635,796",-,-,"$72,635,796",100%,ja,"Shibuya, Tokyo, is bustling with the Halloween season. A wedding is being held at Shibuya Hikarie, where Detective Miwako Sato of the Metropolitan Police Department is dressed in a wedding dress. While Conan and the other invited guests are watching, an assailant suddenly bursts in, and Detective Wataru Takagi, who was trying to protect Sato, is injured. Takagi survived and the situation was settled, but in Sato's eyes, the image of the grim reaper that she had seen when Detective Matsuda, the man she had been in love with, had been killed in a series of bombings three years ago, overlapped with Takagi's.",16.893,2022-04-15,6.5,68
55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%,en,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",66.466,2022-04-07,7.092,3705
56,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%,en,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,75.349,2022-02-03,6.352,2725
57,Babylon,"$63,351,455","$15,351,455",24.2%,"$48,000,000",75.8%,en,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films to sound films in the late 1920s.",77.592,2022-12-22,7.438,2392
58,Whitney Houston: I Wanna Dance with Somebody,"$59,806,881","$23,708,080",39.6%,"$36,098,801",60.4%,en,"The joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, the greatest female R&B pop vocalist of all time. Tracking her journey from obscurity to musical superstardom.",38.757,2022-12-20,7.0,336
59,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%,en,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",63.697,2022-08-11,6.704,1329
60,The Whale,"$54,883,206","$17,463,630",31.8%,"$37,419,576",68.2%,en,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,65.803,2022-12-09,7.9,3123
61,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%,ko,"Follows Rim Chul Ryung heading back to South Korea in pursuit of a brutal and secret criminal organization. He teams up again with Kang Jin Tae, who volunteers to work with the North Korean in order to get back on the investigation team after a mistake landed him in the cyber crime department.",11.58,2022-09-07,7.3,33
62,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%,en,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",50.778,2022-03-16,6.691,1774
63,Marry Me,"$50,477,680","$22,438,180",44.5%,"$28,039,500",55.5%,en,"Pop superstar Kat Valdez is about to get married before an audience of her loyal fans. However, seconds before the ceremony, she learns about her fiance's cheating ways and has a meltdown on stage. In a moment of inspired insanity, Kat locks eyes with a total stranger in the crowd and marries him on the spot. As forces conspire to separate the unlikely newlyweds, they must soon decide if two people from such different worlds can find true love together.",34.456,2022-02-09,6.758,856
64,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%,hi,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",24.101,2022-09-08,6.547,138
65,The Banshees of Inisherin,"$49,262,687","$10,582,266",21.5%,"$38,680,421",78.5%,en,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",39.154,2022-10-20,7.465,2194
66,The Fabelmans,"$45,631,458","$17,348,945",38%,"$28,282,513",62%,en,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",50.381,2022-11-11,7.715,1866
67,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%,en,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",61.005,2022-09-08,6.914,1804
68,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%,en,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",77.767,2022-10-23,7.031,804
69,Paws of Fury: The Legend of Hank,"$42,431,358","$17,811,382",42%,"$24,619,976",58%,en,"A hard-on-his-luck hound finds himself in a town full of cats in need of a hero to defend them from a ruthless villain's wicked plot to wipe their village off the map. With help from a reluctant mentor, our underdog must assume the role of town samurai and team up with the villagers to save the day.",32.906,2022-07-14,6.738,258
70,The Invitation,"$38,036,130","$25,100,080",66%,"$12,936,050",34%,en,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",29.196,2022-08-24,6.2,643
71,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%,en,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",45.102,2022-07-27,6.695,1876
72,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%,ja,"It follows a young man who dreams of becoming a general and Ying Zheng, whose goal is unification.",37.544,2022-07-15,7.2,66
73,Roald Dahl's Matilda the Musical,"$34,706,541",-,-,"$34,706,541",100%,en,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",67.63,2022-11-25,6.754,644
74,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%,en,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",28.239,2022-05-26,6.979,261
75,Skyfall 2021 Re-release,"$33,910,282",-,-,"$33,910,282",100%,-,-,-,-,-,-
76,Hunt,"$33,821,338","$25,994",<0.1%,"$33,795,344",99.9%,ko,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other.",43.775,2022-08-10,6.7,126
77,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%,es,"Tad accidentally unleashes an ancient spell, endangering the lives of his friends Mummy, Jeff, and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure to end the Curse of the Mummy.",39.418,2022-08-24,7.6,266
78,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%,ko,"Join us as BTS and ARMY become one once again with music and dance in this unmissable live concert experience broadcast from Seoul to cinemas around the world! 'BTS PERMISSION TO DANCE ON STAGE' is the latest world tour series headlined by 21st century pop icons BTS, featuring powerful performances and the greatest hit songs from throughout their incredible career.",7.806,2022-03-12,8.939,115
